Time	Left Crest X	Left Crest Y	Left Crest Z	Left Hip X	Left Hip Y	Left Hip Z	Left Knee X	Left Knee Y	Left Knee Z	Left Ankle X	Left Ankle Y	Left Ankle Z	Left Foot X	Left Foot Y	Left Foot Z	Right Crest X	Right Crest Y	Right Crest Z	Right Hip X	Right Hip Y	Right Hip Z	Right Knee X	Right Knee Y	Right Knee Z	Right Ankle X	Right Ankle Y	Right Ankle Z	Right Foot X	Right Foot Y	Right Foot Z	R1 X	R1 Y	R1 Z	R2 X	R2 Y	R2 Z	R3 X	R3 Y	R3 Z	R4 X	R4 Y	R4 Z	R5 X	R5 Y	R5 Z	R6 X	R6 Y	R6 Z	L1 X	L1 Y	L1 Z	L2 X	L2 Y	L2 Z	L3 X	L3 Y	L3 Z	L4 X	L4 Y	L4 Z	L5 X	L5 Y	L5 Z	L6 X	L6 Y	L6 Z
0.340000	0.17656562	0.25794524	0.33781469	0.17489609	0.18068038	0.28473678	0.19800659	0.20532563	0.14853455	0.24016680	0.06535078	0.09848347	0.22302233	0.03769028	0.04345245	0.26746440	0.26424077	0.35397688	0.30266312	0.19694617	0.29891375	0.28935707	0.32394779	0.22967151	0.27815059	0.28265768	0.08903480	0.28960922	0.33740908	0.04558588																																				
0.350000	0.17553504	0.26924613	0.33910507	0.17393801	0.19170083	0.28636655	0.19689520	0.21233784	0.15009016	0.23901416	0.07124620	0.10010602	0.22371049	0.04031787	0.04598677	0.26662362	0.27546379	0.35557115	0.30184323	0.20911445	0.29932913	0.28681645	0.33507004	0.22949745	0.27433926	0.30561736	0.08716615	0.28289014	0.35872194	0.04419762																																				
0.360000	0.17411755	0.28072381	0.34058446	0.17281669	0.20273824	0.28776661	0.19536753	0.22019537	0.15117958	0.23783937	0.07807714	0.10220551	0.22440864	0.04387098	0.04947675	0.26642248	0.28735405	0.35691753	0.30081049	0.22134079	0.29887012	0.28412303	0.34650105	0.22816740	0.26901984	0.32367802	0.08489779	0.27586105	0.37658295	0.04219732																																				
0.370000	0.17295629	0.29418314	0.34148106	0.17235376	0.21604800	0.28838891	0.19230682	0.23126495	0.15157187	0.23581420	0.08793014	0.10566781	0.22497967	0.04991486	0.05505157	0.26629972	0.30092654	0.35734326	0.29981077	0.23578389	0.29691726	0.28049332	0.36012191	0.22512254	0.26423684	0.34019247	0.08154175	0.27044699	0.39310983	0.03911828																																				
0.380000	0.17220254	0.30770370	0.34164423	0.17219494	0.22955364	0.28812611	0.18832421	0.24393529	0.15108879	0.23197576	0.10075919	0.11082028	0.22508545	0.05770746	0.06143754	0.26798943	0.31596193	0.35694003	0.29904512	0.25013506	0.29400259	0.27659416	0.37389794	0.22079547	0.26027682	0.35211903	0.07754039	0.26806325	0.40528294	0.03663974																																				
0.390000	0.17255993	0.32093307	0.34112477	0.17226374	0.24317260	0.28705925	0.18315628	0.25836924	0.15012777	0.22702508	0.11526417	0.11652532	0.22450085	0.06737150	0.06846360	0.26983684	0.33084819	0.35556385	0.29889899	0.26464990	0.29046395	0.27248394	0.38766098	0.21548472	0.25837162	0.36008099	0.07369139	0.26763114	0.41219574	0.03485538																																				
0.400000	0.17325561	0.33224380	0.33989057	0.17196335	0.25469992	0.28533578	0.17847514	0.27262333	0.14828779	0.22154801	0.12945691	0.12180890	0.22259922	0.07797869	0.07461026	0.27213106	0.34410679	0.35387892	0.29914415	0.27673289	0.28713647	0.26907307	0.39900517	0.21017502	0.25703537	0.36181101	0.07096723	0.26733977	0.41227809	0.03385377																																				
0.410000	0.17388040	0.34350267	0.33829740	0.17145415	0.26617944	0.28333536	0.17413986	0.28802663	0.14607945	0.21597402	0.14368291	0.12644172	0.21946107	0.09069939	0.08021895	0.27341715	0.35613811	0.35190403	0.29965219	0.28847271	0.28392759	0.26607460	0.40987250	0.20522642	0.25534201	0.36139399	0.06916494	0.26658699	0.41079390	0.03291124																																				
0.420000	0.17375617	0.35381994	0.33750603	0.17071378	0.27754351	0.28131101	0.17008427	0.30452210	0.14384979	0.20982057	0.15902121	0.13112879	0.21465753	0.10566071	0.08518777	0.27453849	0.36766800	0.34994489	0.30014530	0.29967332	0.28103650	0.26306739	0.41979066	0.20089963	0.25284126	0.36036721	0.06828214	0.26564938	0.40930912	0.03214152																																				
0.430000	0.17319001	0.36408788	0.33692890	0.16978380	0.28870404	0.27964589	0.16612954	0.32180387	0.14240788	0.20319705	0.17560388	0.13598849	0.20877394	0.12292251	0.08912893	0.27511695	0.37856334	0.34805256	0.30039272	0.31045088	0.27862403	0.26073724	0.42959175	0.19736016	0.25096947	0.36046088	0.06841592	0.26535073	0.40914333	0.03203670																																				
